file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,216,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,12
style.css,217,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,18
style.css,218,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,1,18
style.css,219,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,22
style.css,220,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,7
style.css,221,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,1,16
style.css,222,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,15
style.css,223,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,15
style.css,224,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,0
style.css,225,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,0
style.css,226,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,7
style.css,227,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,12
style.css,228,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,15
style.css,229,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,8
style.css,230,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,11
style.css,231,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,21
style.css,232,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,19
style.css,233,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,1,13
style.css,234,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,6
style.css,235,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,14
style.css,236,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,1,21
style.css,237,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,1,36
style.css,238,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,0
